sample_index,t_s,theta_true_deg,theta_mtcn_deg,theta_rkf_deg,abs_error_mtcn_deg,abs_error_rkf_deg,delta_abs_error_deg,rkf_locally_better,evaluation_sample,rkf_better_beyond_tolerance,mtcn_better_beyond_tolerance,near_tie
2616,26.16,2.3381797222222223,4.421799451174112,1.8731199620563235,2.08361972895189,0.4650597601658988,-1.6185599687859913,1,1,1,0,0
2617,26.17,2.3134533101851824,4.406842530303749,1.8305490538277647,2.093389220118566,0.48290425635741774,-1.6104849637611485,1,1,1,0,0
2618,26.18,2.2887268981481483,4.391885609433385,1.787978145599217,2.1031587112852366,0.5007487525489314,-1.6024099587363052,1,1,1,0,0
2619,26.19,2.264000486111109,4.376928688563016,1.7454072373706582,2.112928202451907,0.5185932487404508,-1.5943349537114562,1,1,1,0,0
2620,26.2,2.239274074074075,4.361971767692658,1.7028363291421165,2.1226976936185835,0.5364377449319584,-1.5862599486866251,1,1,1,0,0
2621,26.21,2.2143098842592575,4.346428456755148,1.6649955218278387,2.1321185724958904,0.5493143624314187,-1.5828042100644717,1,1,1,0,0
2622,26.22,2.1893456944444454,4.330885145817643,1.6271547145135723,2.1415394513731973,0.5621909799308731,-1.5793484714423243,1,1,1,0,0
2623,26.23,2.164381504629628,4.3153418348801384,1.5893139071992946,2.1509603302505105,0.5750675974303334,-1.575892732820177,1,1,1,0,0
2624,26.24,2.1394173148148106,4.299798523942629,1.5514730998850224,2.1603812091278183,0.5879442149297882,-1.57243699419803,1,1,1,0,0
2625,26.25,2.1144531249999985,4.28425521300513,1.5136322925707562,2.1698020880051314,0.6008208324292423,-1.568981255575889,1,1,1,0,0
2626,26.26,2.0892660185185146,4.268083726428704,1.479996019402511,2.178817707910189,0.6092699991160035,-1.5695477087941856,1,1,1,0,0
2627,26.27,2.0640789120370364,4.251912239852289,1.4463597462342834,2.1878333278152526,0.617719165802753,-1.5701141620124996,1,1,1,0,0
2628,26.28,2.0388918055555525,4.235740753275869,1.4127234730660383,2.1968489477203166,0.6261683324895142,-1.5706806152308024,1,1,1,0,0
2629,26.29,2.013704699074074,4.219569266699448,1.379087199897805,2.2058645676253743,0.634617499176269,-1.5712470684491053,1,1,1,0,0
2630,26.3,1.98851759259259,4.203397780123028,1.3454509267295598,2.2148801875304382,0.6430666658630302,-1.571813521667408,1,1,1,0,0
2631,26.31,1.9631224305555512,4.186624671658995,1.3155520172466804,2.2235022411034437,0.6475704133088709,-1.5759318277945729,1,1,1,0,0
2632,26.32,1.9377272685185176,4.169851563194963,1.2856531077638067,2.2321242946764457,0.6520741607547109,-1.5800501339217348,1,1,1,0,0
2633,26.33,1.9123321064814789,4.153078454730924,1.2557541982809215,2.240746348249445,0.6565779082005574,-1.5841684400488876,1,1,1,0,0
2634,26.34,1.8869369444444457,4.136305346266892,1.225855288798048,2.249368401822446,0.6610816556463976,-1.5882867461760484,1,1,1,0,0
2635,26.35,1.8615417824074065,4.119532237802859,1.1959563793151629,2.2579904553954524,0.6655854030922437,-1.5924050523032087,1,1,1,0,0
2636,26.36,1.8359534259259298,4.10240825516198,1.1693795708859471,2.26645482923605,0.6665738550399827,-1.5998809741960673,1,1,1,0,0
2637,26.37,1.810365069444442,4.085284272521094,1.1428027624567139,2.274919203076652,0.6675623069877281,-1.607356896088924,1,1,1,0,0
2638,26.38,1.784776712962965,4.068160289880215,1.116225954027498,2.2833835769172497,0.6685507589354671,-1.6148328179817826,1,1,1,0,0
2639,26.39,1.7591883564814825,4.05103630723933,1.089649145598265,2.2918479507578473,0.6695392108832174,-1.6223087398746299,1,1,1,0,0
